par_id,art_id,keyword,country_code,text,label
par_id,art_id,keyword,country_code,text,label
1,@@24942188,hopeless,ph,"[""We ' re in times of absolute insanity, as I ' m pretty sure most people are aware. a while, waking up every day to check the news seemed carry with it the same feeling of panic and dread that action heroes probably when they ' re to decide whether to cut the blue or green wire on ticking bomb - - except the bomb ' s instructions long ago burned a fire and imminent catastrophe seems the likeliest outcome. It ' s hard to stay that on - edge that, though, so it ' natural for people to become inured to this constant chaos, to slump into a malaise of hopelessness and pessimism.""]",0
2,@@21968160,migrant,gh,"[""In Libya today, there are countless number of and immigrants. These the two countries key including unemployment. Let ' s tackle issue from root and the fruit. Thank""]",0
3,@@16584954,immigrant,ie,"['White House secretary Sean Spicer said the focus immigration actions illegal immigrants "" have our laws "".']",0
4,@@7811231,disabled,nz,['Council customers only would be displayed. of be reserved for disabled persons and there be five spaces and ones.'],0
5,@@1494111,refugee,ca,"['"" like we received migrants El Salvador and Guatemala in \' 80s \' 90s, like we \' seen thousands of economic refugees, started seeing fleeing the Ju? rez and other parts of Mexico, "" says shelter director Ruben Garcia.']",0
6,@@9382277,in-need,in,"['To bring down high blood sugar levels, insulin needs to be taken. If you are type who requires insulin during time, will have to take doses of insulin in order to lower your blood. to be taken on when to inject it and how many times inject. For this, you to take the help of a health care.']",0
7,@@7562079,refugee,za,"[""The Union is making an historic mistake in its haste to conclude a deal Turkey, overlooking human rights violations that plunging the bloc ' s largest civil, said Selahattin Demirtas, leader of the nation ' s most prominent pro -.""]",0
8,@@23663488,hopeless,nz,"['"" \' re hopeless for being beaten by a - - old, if they beat him, \' re a bully. That \' s the. In reality he \' s a game. ""']",0
9,@@3449225,homeless,ph,"['NUEVA ERA, Ilocos Norte - No be homeless under the government here, town Mayor Aldrin.']",1
10,@@2485090,in-need,nz,"[""Spokesman said Kremlin needed more information about the rebels ' decision. He also said rebel statement came only after the Western - backed government in Kiev had declared it would press on operation, implying Ukraine was blame for rebels ' refusal to heed Putin.""]",0
11,@@21290047,migrant,in,['A federal appeals court on Tuesday cleared the way for a 17 - - old immigrant held custody in Texas to an. The US Court of for the District of Columbia Circuit ruled - 3 in favor of the teen. The decision overturned a ruling by a three - judge panel of the court that at least temporarily blocked her from getting an abortion. The Trump administration still appeal the to Supreme Court.'],0
12,@@16996915,vulnerable,gb,['Find ourselves in this because people are a number of more local factors including the number of people requiring nursing care their care home is increasing with increased demands council - funded care to vulnerable people within their own homes.'],0
13,@@13499386,women,pk,"['"" "" is resurrection 1984 film but this time leads are women, men.']",0
14,@@14991409,poor-families,my,"[""In the Government ' commitment to protect vulnerable, Najib in 2017 Budget proposed financial poor including General Assistance to RM300 per Children Assistance up to RM450 per.""]",0
15,@@16989969,vulnerable,au,"['When my died unexpectedly in 2014, he putting the finishing touches to his forthcoming book, Climate Change and the Health of Nations. The book historical records and finds that human health is very sensitive changes in climate. And drawing on history, he that the impacts of climatic change - - such as environmental disaster, increasing temperatures, and food insecurity - - will amplify infectious diseases, under -, heat - related deaths, among vulnerable populations, such as children forcibly displaced.']",0
16,@@23471689,disabled,pk,"['From Pakistan and hosts, Bangladesh disabled team will also in. <h> Shahid Afridi bags 11 Man of the Match awards in T20Is (by any player) <h> De villiers bagged a pair the first time his Test career <h> Super Gossip']",0
17,@@8886184,hopeless,sg,"['Those few, is free of shackles and one glimpses amid the.']",0
18,@@14988344,migrant,in,"['"" Peace to Assam after both Hindus Muslims agreed accept as the cut - off year for citizenship. Today, the government wants to push the towards unrest, "" he said at convention organized Krishak Sangram Samiti. He urged people who arrived in Assam before 1971 to launch a united movement and the Centre \' s plan to regularize the entry of Hindu immigrants Bangladesh.']",0
19,@@21929081,disabled,gh,"['She said since, a total 8000 intellectually disabled in Ghana offered special to enhance their society.']",0
20,@@1850827,immigrant,tz,"['In short, reasons behind operation look reasonable. The problem, has been on the implementation side, much as those behind it talk about its success - on the grounds that, after all, thousands of illegal immigrants left "" voluntarily "" to their countries origin, while have also been, as the under the circumstances not optional.']",0
21,@@4694770,immigrant,jm,"[""Sisi ' s, Grisel Ybarra, Cuban is on negotiations between Washington and Havana and the uncertainty about what renewed will mean immigrants.""]",0
22,@@395048,vulnerable,ph,"[""Might this mean we ' re more vulnerable to pain? . Francis Javier, who until recently headed the Pain Management Center at. Luke ' s Medical Center, is here, comparing Filipinos of mixed ancestries see if there differences the way pain medicines broken down in the body.""]",0
23,@@25154641,homeless,ca,"['"" It highlights respond to the of homelessness different ways, "" Kneebone.']",0
24,@@17221429,vulnerable,ph,"['"" The brands so far lag the global and big international Chinese handset players 4G they looked vulnerable to jump the generation successfully place. ""']",0
25,@@7069687,refugee,au,"[""The incidents deepened public Merkel ' s decision to open ' s to and migrants, whose numbers reached. 1 last.""]",0
26,@@3659219,women,za,['Some say that of sex work helps protect involved in the services provided by these and women.'],0
27,@@16669409,migrant,za,"['"" I that, you, led to me being detained for five hours, as opposed to another Sudanese person who was detained for 30 hours and in his. So, I think that that \' s one aspect of it. On the flip side, when I went to Terminal 4, they did n \' t know my background, and I did feel - - you know, I guess the point I actually want to make, you know, I think this order is a reflection of a larger trend country to criminalise black people, to criminalise immigrants to criminalise Muslims. And as a black Muslim immigrant, I \' m really concerned about that. And I do think that the and Sudanese, people of African descent who are going to be affected by, you know, I think they \' re going to be treated differently, frankly. ""']",0
28,@@9706470,hopeless,us,"[""This year the of July falls on Monday, you have mere 24 hours to kick back and / make the absolute most of your holiday before it ' back to grind. With a crunch like that, we understand how it might seem hopeless, but never fear: is here! Here are some tips to help you dive in headfirst and out the other side of the holiday intact.""]",0
29,@@1306759,women,ca,"[""Farooqui said women ' s groups demanding fast - to deal rape other against.""]",0
30,@@8969086,immigrant,my,"['"" I have the family book. Why do they say I \' m an immigrant order pay 50, 000 riel a year? Why do \' t acknowledge me as a Cambodian citizen? just started this early this year. Why was n \' t this a thing? "" Mr. Ros.']",0
31,@@19025195,homeless,bd,"['Nearly 110 homeless the blaze being housed at in west London. Churches community centres are providing meals and support, donations of clothing, and household flooding in.']",0
32,@@16687353,refugee,my,"['Cardinal Tagle, visited settlements as part of his role Caritas president, said he asks people express receiving refugees and, "" Have you ever talked a real refugee? you heard stories of real persons? ""']",0
33,@@8301323,disabled,pk,['Arshad said besides learning many new aspects of sports leadership he learnt how - developing nations were using sports as tool of and this the disabled and underprivileged were not left at.'],2
34,@@24150149,disabled,ng,['Fast food employee fed becomes internet sensation'],3
35,@@7548760,migrant,za,"['The bloc \' s 28 will ask Davutoglu \' s to accept "" large - "" deportations of economic migrants from Greece, the main entry to, and implement a November to the flow of people into the bloc.']",0
36,@@20493025,homeless,ng,['The foundation those who are willing to raise fund for the to click on donation.'],1
37,@@3277512,homeless,lk,"['A fire that in a labor camp in Al Sailiya on the 8th of May left approximately 300 Sri Lankans, employed a Janitorial Service Company in Qatar, homeless. They been provided with temporary after the fire. Expatriates who did not report to under these have the Qatar authorities.']",0
38,@@19143133,hopeless,bd,"[""Rizvi: There will Eid <h> ' The citizens nation becoming hopeless '""]",1
39,@@24700959,homeless,ke,"['FLOODTwo, and farms were by water, rendering a number in and Tana River.']",0
