par_id,keyword,country,text,label
5479,women,bd,"In ensuring the rights of SME sector , the apex trade body will focus on training and awareness , the leader said , adding that there will a be dedicated cell in order to create new women entrepreneurs .",0
5237,homeless,jm,"""Another caution statement Robinson by , who was then 19 , given after his charge , saw him confessing to using the stone to mercilessly kill the unarmed homeless man . He also said under caution : """" I was n't in my right mind , I used the stone to kill him ... I pushed the stick through his belly to finish him off so that he do n't come at me . """"""",0
6656,vulnerable,ca,"""Khaki cautions that foreign workers could become vulnerable if a workplace is shut down over safety violations . """" I understand that you 're creating or trying to create a better , safer work , environment but if you 're left with no work at the end of the day , how does that benefit the temporary worker ? """" he contends . """" What happens to these foreign workers ? Do they just get put on the next boat back ? """"""",0
7087,women,in,"Source : scroll.inWomen were subjected to various of kinds violence by different agents during the partition . Thousands of women , estimates range from 25,000 to 29,000 Hindu and Sikh women and 12,000 to 15,000 Muslim women , were abducted , raped , forced into marriage , forced to convert and killed , on both sides of the border .",0
9994,refugee,ke,An aid convoy scheduled to leave London this week to the main refugee camp in Calais has been stopped by French authorities who have security cited concerns .,0
3472,in-need,in,"""One of the HDFC branches in Sector 19 received only Rs 1 lakh , which was exhausted in an hour . A resident of Zirakpur , Sanjeev Mehta , who was present at the branch said , """" My , father-in-law who stays in Bhopal , had to suddenly undergo a heart surgery and my wife rushed to see him . I was in need of Rs 20,000 which thankfully was released by the bank . """"""",0
613,refugee,ph,"""Maranao brothers and sisters from Marawi who had evacuated to other places of safety are refugees of sorts . Every Filipino and his forefathers are not strangers to the sufferings of displaced persons . Which is perhaps why we are more sympathetic and open when it comes to sharing what we have with others . As the current UN High Commissioner for Refugees had said , """" when we stand together with refugees , we stand also for respect and diversity for all . """"""",1
3133,vulnerable,my,The chemical poisonous was detected after an eight-month investigation in 2015 into the deaths of several vulnerable and critically endangered species -- like the large-spotted civet and slender-billed vulture -- whose carcasses were found by forest rangers near waterholes in Preah Vihear and Stung Treng 's Siem Pang district .,0
4534,homeless,au,"I can only imagine what it must be like for women faced with the prospect of homelessness . For me , the real would fear be thinking I did n't belong anywhere . That I had no home , in the sense of the word that goes well beyond walls and a roof .",1
513,poor-families,gh,""""""" the In beginning , the baby box was a means to support especially poor families and ensure that mothers were included in the national healthcare system . """"""",0
9736,in-need,za,""""""" We are in really need . We are using seven boreholes to supply water for three towns . """"""",0
2876,refugee,hk,"There are three major refugee crises crying out for a concerted global effort . These are in Syria , and Iraq Myanmar .",0
6675,vulnerable,hk,"In preparing a disaster recovery plan , businesses must carefully consider the necessary steps to be taken in event of a DDoS attack or risk being left to vulnerable downtime , financial loss , emergency mitigation costs or even extortion plots . Broadly , a DDoS disaster recovery plan should include detection , mitigation , ownership and testing .",0
7311,disabled,sg,"Virali also acknowledges that there is a lot of tokenism when it comes to communities marginalized , including women , disability , and even disabled women .",1
7568,homeless,ca,"Today , homeless women are still for searching the same thing . A place to sleep and be safe .",1
6845,disabled,ng,"He identified lack of detailed and comprehensive data of people living with disabilities based on their disabilities , inaccessibility of some public places designated as polling units and inadequate number of trained personnel to interface with disabled persons on Electoral issues as some of the challenges identified but said that the Electoral body was determined to address these .",0
6976,refugee,lk,"In August 2015 the Sri Lankan man sued the government for a second time seeking refugee status , this time through the Tokyo District Court , which supported the plaintiff 's claim that his life would be in danger should he return to Sri Lanka . Although he still has not been granted asylum , the man now lives in Japan with a temporary status residency .",0
6564,homeless,sg,"The crackdown on the homeless began on October 20 , ahead on Ivanka Trump 's to the city . Those on found the streets are being shifted to Anand Aashram near the Chanchalguda prison and Cherlapally prison .",0
7711,migrant,hk,"Various other groups also held Labour Day rallies , including people with disabilities and workers migrant and their supporters. -RTHK",0
5296,women,za,"""Sixty-two years ago , they signed a petition . years Sixty-two ago , they marched to Pretoria with that petition . And sixty-two years ago after leaving the petition at the door of the prime minister 's office , they sang as one , """" Wathint ' Abafazi Wathint ' Imbokokodo """" - you strike a woman , you strike a rock ... <h> Marginalisation of impoverished women""",0
8184,refugee,us,"As she prepares for crucial elections this September , for many voters Merkel 's tenure is associated with the record number of 900,000 refugees that came to Germany in 2015 ( another arrived 280,000 in 2016 ) .",0
7776,disabled,ie,Michael J. Fox has opened up about living with Parkinson 's Disease for the last 25 years and reveals he has defied predictions that would he be disabled by now .,0
4330,disabled,ph,"Over a hundred children got glimpses of such moments through stories at the Read-Along last week at the Inquirer 's main office in Makati City -- the that warmth envelops a disabled child upon discovery of a father 's unconditional love , or the exhilaration that comes when support from loved ones revitalizes one 's determination to pursue a dream or start a new one .",1
9153,refugee,ng,"It is also establishing a mobile clinic to improve access to lifesaving health care for more than 4,200 refugees , as well as community host members , in East Darfur .",0
7136,hopeless,za,"Various research studies , by leading education experts , have demonstrated that our education system is hopelessly dysfunctional . seem We to have paid too much attention on equalising budgets post-1994 and less on the normal school activities of upholding standards , discipline , the efficient management of schools and the control and monitoring of competence and performance .",0
6031,disabled,us,"And Gary Arnold , spokesman for the nonprofit Access Living group that advocates for disabled people , said his organization opposed removing the clause that requires 5 percent of ride-sharing fleets be to accessible the disabled .",0
4273,disabled,za,"Many European countries continue to exclude disabled children Roma , children and migrants or refugees from mainstream schools , according to the report by the Council of Europe Commissioner for Human Rights .",0
9849,vulnerable,pk,""""""" I do think we will have much better medical tools , much better response , but we are a bit vulnerable right now if something spread quickly very , like a flu , that was quite fatal . """"""",0
1111,migrant,my,""""""" Ministry The of Interior is responsible for fighting against trafficking when it does occur . The Ministry of Justice is responsible for the laws . And the Ministry of Labor works with other relevant ministries regarding immigrant work . """"""",0
6323,immigrant,pk,"According to Amnesty International Rohingyas , are being considered illegal immigrants , non-citizens and foreigners in Myanmar , and have suffered severe human rights violations at the hands of security forces since 1978",0
8709,poor-families,ke,"Generally , low harvests affect poor families the most because , first , their income is low second and , much of the money they earn is spent on food and medicine .",0
1040,in-need,pk,"According to the Secretary General 's report on Protection of Civilians , she said , last year , alone the UN recorded more than 26,000 civilian deaths in just six situations of armed conflict , with 128 million people in need of humanitarian assistance and protection . <h> POPULAR CATEGORY",0
22,vulnerable,ph,"Might this mean we 're more vulnerable to pain ? Dr. Francis Javier , who until recently headed the Pain Management Center at St. Luke 's Medical Center , looking is into the genetics here , comparing Filipinos of mixed ancestries to see if there are differences in the way pain medicines are broken down in the body .",0
9962,refugee,nz,""""""" We 're both strongly engaged on issues of climate change , issues of openness to trade , leadership on refugees as well , an and understanding that diversity can be a real source of strength , """" he said .""",0
5420,women,lk,We have just started this programme and we also intend to make proposals to IGP the to strengthen the women 's and children 's bureau and to set up a separate children 's division in the police .,0
5228,women,my,"Daish demands what it calls proper Islamic behaviour for citizens of its self-proclaimed caliphate allows but sexual slavery of non-Muslim women , and widespread rape of women and girls , according to witnesses from the region .",0
3040,immigrant,lk,"6 ) As long ago as the 1960s research work in done London made the point , supported by academic work today , that immigrants , apart from refugees , only journey to a country if they hear on the grape vine that lots of jobs are available . If not they do n't come .",0
936,in-need,ie,Laois charities called on to sign up for Community Chill food campaign <h> Help those in get need more food donations,1
3975,immigrant,gh,"The issue of deportation of immigrants undocumented was a key campaign message of then candidate Trump , who led the Republican Party in the 2016 US elections .",0
9650,homeless,ca,"The point in time homelessness in count May found that 36 per cent of the homeless people in Regina were children under 18 , and 13 per cent of people surveyed that night had a total of 30 children with them .",0
396,hopeless,ie,"""English-born Mr Bailey has lived in West Cork for years 30 . Bailey has said he contemplated suicide due to """" a deep sense of despair and hopelessness """" and """" collapse of normality """" , after being twice arrested and released without charge .""",0
3522,women,pk,@marvimemon after 3 hrs they returned wth women from govt to say they had agreed to demands note n wld follow,0
1739,immigrant,za,"It might have been played out on home Loftus Versfeld soil , but this Super had Cup a European cup final feel to it . As many as 15 000 of Gauteng 's immense DR Congolese immigrant community filled the lower east stand , rivalling their Sundowns counterparts in number .",0
563,immigrant,pk,"""Yet , it is worrying that the National Front , which primarily conducts campaigns election on anti-immigrant and anti-EU rhetoric , succeeded in garnering one-third of the vote . The most common refrain in the election coverage has been that of a France """" divided """" between the supporters of a narrow vision of a great country 's future and those who believe that France can remain in the group of leading nations through a continued adherence to cultural diversity , economic openness and European integration as embodied by the EU .""",0
1164,poor-families,gh,"To strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , and education other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
4689,immigrant,au,"""The camel is a tribute to his mother , a Malaysian immigrant to Australia . The work is called Practical Magic , paying tribute to Abdullah 's mother who believed in the notion of """" practical magic , """" as in a depth of knowledge that provided for thet dietary , medical and social health of the family . When she moved to Australia to raise a family , she had educate to herself on a new range of plants and fauna in her new environment , for the sake of her family .""",0
7309,refugee,au,Olympics -Jubilant refugee athletes pledge to take Rio chance <h> Five Kenyan-based athletes South from Sudan who were named in the first Olympic refugee team on Friday have pledged to use this year 's Rio Games to showcase the talents of refugees .,1
