par_id,art_id,keyword,country_code,text,label
4170,@@20419707,immigrant,sg,"['WASHINGTON (Bloomberg) - Former White House strategian Steve Bannon said conservatives are unhappy with the way Chairman Donald Trumpet ended an Obama - era initiative shielding immigrants land to the US as children from deportation, but saved his harshest criticisms for the Catholic Church.']",0
6018,@@19109286,refugee,ph,"[""Throughout history, the Philippines has accepted refugees, among them White Russian in the ' 20s, Jewish refugees in the ' 30s, the Vietnamese boat people in the ' 70, and refugee from E Timor in 2000.""]",0
6184,@@2991717,migrant,au,"['"" Syriza takes a strong stand against the demonizing of immigrants and undemocratic measures like concentration camps and margin walls, "" the party \' s head of migration policy, Vasiliki Katrivanou, said after the vote.']",0
7404,@@21894929,in-need,sg,"['"" The first thing I look into is if the needy person comes from a family which has women. I and so make my own enquiries about the family and if they are in need of a home. Of the 78 homes that I have completed, land was bought for just two. In all the former cases, either the beneficiary had land or, in some cases, the local village councils give the land, "" Sunil state.']",0
1724,@@17378726,vulnerable,sg,"[""At once powerful and vulnerable, it is the perfect vessel for the band ' s strident, earnest tunes. The buff Indonesian - born vocaliser maintained studio - perfect delivery all eventide, hitting the audacious highs of Trembling Hands and Ordinary Human beings without showboating.""]",0
2155,@@24705859,women,au,"[""Publisher and commentator Ita Buttrose, and Melanie Perkins, CEO of Canva, discuss the role of young business women in Australia ' s future tense.""]",0
4482,@@19851210,immigrant,gb,"['Owsiak has said the event be open to migrant living in Germany, prompting the rein party to tweet in June: "" Fare you really want to have an event in Poland with the participation of Muslim immigrants? ""']",0
1835,@@9058645,in-need,sg,"['On The Red Dot show producer Serene Subgenus chen said she was embolden by the kindness shown from penis of the public. Said Ms Chen: "" It is telling of a society that is not apathetic towards those in need even as we pursue our own success. ""']",3
6625,@@8374784,vulnerable,ie,"['However, early adolescence, especially for female child, might follow a vulnerable meter for the development and other designation of intrusive worries.']",0
4001,@@26029325,women,sg,['Everyone love that negotiation is key to getting the earnings you merit. But a shocking statistic is that more than than one half of (52 percent) men and almost 70 percent of women employees accept whatever salary they are offered.'],0
7939,@@50081636,homeless,ke,"['The clashes left ace dead, twenty six nursing injuries and tens of families homeless after their houses be reduced to ashes.']",0
5696,@@25492396,disabled,us,"['"" People using this line are trying to go about their sprightliness - - low - income people, young multitude, seniors, disabled people and choice riders, similar millennials who get along n \' t want to cost tied to a car, "" Dibble said.']",1
7822,@@13688421,women,pk,"['ATTOCK / RAWALPINDI: Deuce more than women out of vi who were brought to Rawalpindi from Attock on August 2 after allegedly attempting suicide have died, taking the full destruction bell to five.']",0
4530,@@851189,hopeless,hk,"[""So how come all this fear and paranoia and loathing and hopelessness manifest itself on a social level? Simpleton - - we need to lash out. We need someone to blame. Step forward the Mainland individual, specifically the Mainland mother - to - be. She ' s the one to blame. But rattling, any Mainlander will act.""]",0
7103,@@3260833,disabled,hk,['Hong Kong police have total under fire over the custody earlier this calendar month of an intellectually disabled person in connector with a murder face.'],0
7425,@@1860590,poor-families,gh,"['He further note that mostly, thither had been delays in the importation of bags of rice that were not from neighbouring countries and that should the government place the ban, many poor families were probable to be the ones to suffer the most.']",0
6676,@@18789399,vulnerable,za,"[""The First Lady ' s remarks came only a sidereal day after Kingdom of sweden increased information technology support to the Zimbabwe Resiliency Building Fund by $ 8 jillion to support vulnerable communities in twenty one districts.""]",1
7877,@@7526742,homeless,my,"['SYDNEY (Reuters) - An informal "" street count "" by staff of City of Sydney council and volunteers has identified 486 homeless mass sleeping rough in the inner urban center, the highest figure since the initiative was launched in 2010.']",0
