par_id,text,label
4341,"I don't understand why nt Bangladesh tour out the most frequent SC. They are desperate out of their cascoon of a country, but only through the exhibition can they improve..",1
4136,"Thirty years ago, the great American sex researcher Shere Hite published the results of a large survey, which showed that most women can't reach orgasm regularly only with penile-vagina relationships. The majority of females need clitoris stimulation.",0
10352,"Syngman Rhee, the South Korean president fled, but not before ordering the explosion of the Hangang Bridge through the Han River, in an attempt to stop the advance - death of hundreds of refugees fleeing - and then the massacre of its political opponents.",0
8279,Kenya's President Nuclear Electricity Board Akilo Ayacko said that the journey to nuclear energy began in 2010 after Kenya's leadership analyzed development needs and discovered that the country would be irremediably developed if it did not discover new forms of energy.,0
1164,"He knows David non-she-real-name Williams, a single Auckland 40-year-own-home who works in the entertainment industry and sleeps with between one and four different women a month.",0
7568,"CNN informed last week about a draft White House proposal to strip the State Department of supervision on consular and refugee issues, an effort described as part of an effort to rationalize.",0
6027,"""The citizens of this nation are becoming desperate to watch this Eid,"" Rizvi said at a press conference held at the party's central office.",1
9343,"God is God Foundation (GIG), a non-governmental organization (NGO), founded five years ago, and care of widows and orphans in need, was during the weekend inaugurated in Accra, with an appeal to Ghanaians to do more in the relief care for the vulnerable and deprived.",1
1231,"The UN Relief and Works Agency, which serves Palestinian refugees in the Middle East. The agency runs the Khan Younis refugee camp in Gaza, where Assaf has been living since the age of 4.",0
911,Nur Jazlan said that the discovery and confiscation of money was a huge success for the Immigration Department in its anti-prostitution operation involving illegal migrants in this country.,0
5431,"A large-scale, publicly funded energy efficiency programme is urgently needed to create jobs, reduce emissions and save the lives of some of the most vulnerable people in the UK.",1
9047,"Britain First Jayda Fransen's deputy confronted a tent and is accused of 'abusing' the homeless inside because they were Latvians. (Source: YouTube ). <h> Nick Charity <h> Mansfield community champions blew up a video that's appeared on social media from the extreme right-wing party Britain First, showing the group 'abuit' an EU homeless person.",0
951,"Bombarded by schizophrenia, addition and homeless, you could say that Eoghan O'Driscoll went to hell and returned. But he is finding a new balance through painting. Interview : Michael Lanigan",1
606,"Mention of congratulating the president elected Trump on the phone and expressed his hope of having him leads to be the best president for every American - no matter of race, gender, or religion. ""O dream American is big enough for everyone. For people of every race and religion, for men and women, for immigrants, for LGBT gentes, and for people with disabilities. Para tutti.""",1
6950,New start-up The Monthly Cois collects money to launch a subscription service where women can order 100 percent cotton buffers online and get them delivered to their door. Each purchase will see a box of buffers donated to a needy woman.,1
2385,"Although the highly infectious disease was made curable, some poor families could not afford the medicines. Some parents did not trust the new medicines, losing the opportunity to get their loved ones treated.",1
4491,"Stewart vulnerable widow Miss Bailey on the Internet in 2011 - gaining her entry into her trust and then her estate? 3.3 million after launching an ""love bomb "" offensive.",0
2872,"They don't think Trump is going to be bad for women. They say he's not racist or xenophobic, and he doesn't want to stop the immigration and acceptance of refugees, but rather he wants certain procedures and rules to control this to keep people safe.",0
9054,"Members of the identified vulnerable cooperatives and informal groups of girls and young women, especially young people and girls and other non-school youth, will soon benefit from an ILO/Sida innovation fund.",0
5629,"After the storm of May 8, we followed much of the recovery in and around Colorado Mills and surrounding neighborhoods. Wheat Ridge... we didn't know the half of your house are in need of roof repair.",0
853,"Patrick worked eight years as a paralegal for law firms in Atlanta, USA, before moving to Hong Kong for his MBA. Apart from his full-time work, he launched his own social enterprise, distributing free bicycles and creating a work program for homeless people and refugees from Atlanta's to fix bicycles to board an orphanage in Jamaica.",1
2485,"It goes from migrant to migrant, checking their readiness for travel to Serbia. By car, it takes less than five hours. On foot, the same trip lasts about 10 days. When some laughs about his questions, he puts a severe tone: ""Shut up. This is not a joke once you't out there. If you think it's funny, he'll send you back to Athens.""",1
3920,HONG KONG * The Hong Kong authorities are closing a disability asylum following a sexual scandal and reports of death suspects in the center.,0
2803,"There is reason to think that there are more beautiful things in the software. We have raised with NPR's Ann Powers, a long-time music journalist who has long written about women in the music industry. Without any great proclamations, we highlight some trends, some hopes, and a couple of areas where the land may have moved in the new year.",0
668,"To take a more detailed look at Malaysia's medical screening for foreign workers and to look for an explanation about the sudden increase in TB cases in our country, possibly treated in illegal entries in Malaysia, we have raised with Prof Datuk Dr Mohd Amin Jaludin, Vice Chancellors of University Malaya.File Pic : vcoffice.um.edu.my",0
7853,,0
10467,"""Guiness World Record of 540lbs of 7-layer munchy monstrosity"", tweeted el tweeted. "" delivered immediately to Los Angeles's Midnight Mission for the sansdown. A good day.""",1
6052,"The faster the channel firms learn to build a business around these emerging areas, the less vulnerable they will be due to margins of weaknesses on related products. As part of abraching new business models, the channel firms must also optimize operations for maximum efficiency to maximize profits.",0
7110,"Emmanuelle Riva in ""Amour"", like a woman in 80s whose mind and body deteriorate after a series of strokes, is also fragile, more vulnerable, and quite helpless. The first time I saw Riva, in ""Hiroshima Mon Amour,"" we were struck by her sensuality, but patrician face. Now sensuality has started, but the dignity of that look remains.",1
5082,"Born of immigrant Indian parents in the small town of Schweizer-Reneke in the North-West province just before the Great Depression in 1929, Kathrada engaged in politics at the age of 12 when he distributed leaflets for the Young Communist League of South Africa.",0
7359,"She said that the young and vulnerable girl acted with absolute confidence and obedience, and had obliquely followed her father's instructions while he committed the crimes in 2005.",0
1556,"But in this a couple of trends have been boosted, with Liverpool keeping a clean rare card - two for the now season - and not to score only for the third league game in this campaign. They were truly irreparably deficient in front of the goal, which was highlighted by the numbers showing their ownership 65 percent, 15 shots to the goal and yet only managed to get two on the goal.",0
2382,"A scientific report commissioned by the World Bank, ""Turn Down the Heat : Climate Extremes, Regional Impacts, and the Case for Resilience"", examines the possible impact of global warming from 2? Celsius, and 4? C on the most vulnerable parts of the world.",0
1416,,0
5948,Staff of the Chicago Department of Families and Support Services spent the day patrolling areas where the homeless are known to gather.,0
